"Air.Pressure..Hecta.pascals." "Air.temp..deg.celcius." "Humidity...." "maximum.Wind.speed..km.h." "water.pressure..decibar." "water.temp..deg.celcius."
"1" 1013.4 26.8 79.7 33.84 6.356 29.1205
"2" 1012.2 26.7 74.9 33.12 6.026 29.2042
"3" 1013.6 25.1 75.2 39.24 5.874 27.795
"4" 1012.9 24.3 78.4 28.8 5.942 27.8514
"5" 1006.5 28 84.1 15.12 5.532 28.8277
"6" 1003.8 28.4 74 29.52 6.773 29.2559
"7" 1006.3 27.4 80.7 19.44 6.384 29.1875
"8" 1007.8 28.7 74.6 28.08 5.012 29.2544
"9" 1005.3 28.6 74.5 24.84 5.7 28.9309
"10" 1008.8 27.3 80.1 37.44 6.969 28.7147
"11" 1010.1 25.6 73 38.88 7.413 28.3813
"12" 1012.4 25.2 73.4 44.28 6.466 27.8346
"13" 1007.5 28.1 81.1 36 7.389 29.8733
"14" 1011.5 26.9 71.9 34.92 5.218 29.7213
"15" 1010.9 28.6 75.8 28.8 5.201 28.8868
"16" 1011.9 27.1 68 42.12 5.995 29.4804
"17" 1009.2 28.4 77.2 34.92 6.599 29.2313
"18" 1008.3 28.1 78 33.48 6.845 29.1774
"19" 1010.8 27.6 69.3 38.52 6.431 29.0871
"20" 1010.5 28 78.9 34.56 5.189 28.9743
"21" 1014.6 24.9 74.1 39.24 6.606 27.5208
"22" 1003.6 25.9 90.3 36.36 6.345 29.5288
"23" 1011.2 25.2 84.8 61.56 6.957 28.6032
"24" 1007.3 28.9 77.6 36.36 5.293 29.4559
"25" 1011.5 25.4 84.8 39.96 6.88 27.7241
"26" 1011.8 25 77.7 43.56 5.255 28.0795
"27" 1011.5 25.2 75.1 36 5.554 28.36
"28" 1014.7 24.4 85.6 36.72 7.052 27.7885
"29" 1007.2 25.3 87.8 37.44 7.21 29.0808
"30" 1009.2 28.7 75.5 40.32 4.796 29.2291
"31" 1005.4 27.1 79.6 11.88 6.586 28.8793
"32" 1011.6 25.5 76.7 48.6 6.348 27.6418
