Air Pressure (Hecta pascals),Air temp (deg celcius),Humidity (%),maximum Wind speed (km/h),water pressure (decibar),water temp (deg celcius)
1010.7,26.3,85.7,24.84,6.887,29.7049
1010.4,26.3,86.9,21.96,6.897,29.7251
1010.4,26.4,85.9,23.4,6.903,29.8056
1010.3,26.3,86.1,23.4,6.904,29.8144
1010.3,26.3,86,21.96,6.906,29.8322
1010,26.3,86.8,25.2,6.902,29.8481
1009.8,26.3,84.8,28.08,6.903,29.8591
1009.5,26.4,85.2,25.92,6.898,29.8693
1009.3,26.3,85,27,6.889,29.8696
1009,26.2,87.1,26.28,6.867,29.8666
1008.9,26.3,87.1,26.64,6.849,29.8642
1008.8,26.4,86.7,23.76,6.834,29.8598
1008.6,26.6,85.4,25.56,6.809,29.8531
1008.4,26.8,83.1,25.56,6.787,29.8383
1008.5,26.9,82.8,29.16,6.755,29.8335
1008.4,26.9,83.6,26.28,6.733,29.8198
1008.4,26.7,83.3,27,6.706,29.8142
1008.4,26.8,84.8,23.4,6.67,29.7977
1008.5,26.7,83.7,25.92,6.637,29.7839
1008.5,26.8,83.8,24.48,6.602,29.7755
1008.3,26.9,82.1,21.6,6.558,29.7657
1008.3,26.8,82.1,24.84,6.512,29.7633
1008.2,26.9,82.7,24.84,6.475,29.7605
1008.1,27,83.7,27.36,6.428,29.7538
1008,27,84.1,28.8,6.377,29.7426
1007.9,26.9,83.1,25.56,6.34,29.7364
1007.7,27,81.9,25.2,6.299,29.7227
1007.8,27.2,82.7,23.76,6.249,29.7176
1008,27.2,79.6,28.8,6.202,29.7131
1008,27.2,82,27.72,6.157,29.7014
1008.2,26.9,82.5,27.72,6.112,29.6929
1008.3,26.9,83.7,25.56,6.064,29.6871
1008.4,27,82.2,27.72,6.015,29.6763
1008.7,27,83.1,29.16,5.969,29.6642
1008.8,26.9,83.2,27.72,5.925,29.6618
1008.9,26.7,82.4,27.36,5.886,29.6499
1009,26.7,83.2,27.36,5.841,29.6385
1008.9,26.6,82.8,30.96,5.801,29.6335
1009,26.6,80.6,31.68,5.763,29.6223
1009,26.8,81,30.96,5.723,29.6126
1009,26.7,84.1,29.16,5.68,29.605
1009.1,26.7,82.2,29.88,5.643,29.602
1009.2,26.7,80,29.52,5.606,29.5757
1009.2,26.9,80.7,30.24,5.58,29.5461
1009.3,27,79.5,27.36,5.554,29.4932
1009.5,26.9,79.5,28.8,5.536,29.5348
1009.5,26.9,80.3,28.44,5.514,29.574
1009.4,26.8,79.4,26.28,5.494,29.5758
1009.6,27,80.6,26.28,5.481,29.5479
1009.6,26.9,80,27,5.477,29.5821
1009.9,27,82.7,28.44,5.469,29.5734
1009.8,26.9,80.7,28.44,5.457,29.6249
1009.9,27,80.9,28.44,5.453,29.6505
1010.1,26.9,80.2,27.36,5.463,29.6775
1010.1,27,78.4,27.72,5.464,29.695
1010.2,27.1,77.4,27.72,5.467,29.7073
1010.3,27.2,78.1,24.84,5.472,29.7149
1010.2,27.3,78.4,26.64,5.477,29.7243
1010.3,27.4,78.4,24.84,5.478,29.7143
1010.1,27.4,77.3,28.44,5.478,29.7095
1010.1,27.4,76.9,28.44,5.48,29.7018
1010,27.4,78.7,23.76,5.472,29.6951
1010.1,27.3,78.8,22.32,5.465,29.6902
1010,27.4,77.4,21.24,5.46,29.6896
1009.8,27.6,78.5,19.44,5.452,29.6857
1009.7,27.7,77.2,19.08,5.447,29.6866
1009.6,27.9,76.1,18.36,5.447,29.6899
1009.6,28.3,76.4,18.36,5.438,29.6957
1009.4,28.6,74.8,22.32,5.42,29.698
1009.4,28.3,75.4,18,5.41,29.6971
1009.3,28.2,76.2,20.16,5.401,29.6984
1009.2,28.3,76.1,16.92,5.388,29.7005
1009,28.8,74.2,24.84,5.381,29.7028
1008.8,28.8,72.6,30.24,5.378,29.701
1008.7,28.8,74.3,29.16,5.37,29.7005
1008.7,28.8,74.7,29.52,5.358,29.6987
1008.5,28.9,75.1,33.12,5.363,29.6951
1008.3,28.8,76.2,32.04,5.348,29.6941
1008.1,28.8,74.8,29.16,5.352,29.6934
1008,28.9,72.8,28.8,5.349,29.6935
1007.9,28.9,74.2,29.88,5.357,29.6954
1007.7,28.8,73.4,30.24,5.359,29.6957
1007.7,28.9,73.6,30.24,5.37,29.6969
1007.7,28.9,74.1,32.76,5.381,29.6989
1007.5,28.9,76.5,33.12,5.392,29.6977
1007.4,28.8,74.5,33.48,5.403,29.6984
1007.4,28.8,75.5,46.44,5.414,29.6987
1007.4,27.4,79.3,45.36,5.437,29.6987
1007.6,27.8,81.9,38.88,5.459,29.6962
1007.6,25.9,86.9,48.24,5.486,29.6984
1007.6,25.5,88.4,45.72,5.528,29.696
1007.4,25,90.8,39.96,5.555,29.6965
1007.2,24.6,91.7,39.96,5.593,29.6981
1006.9,24.9,93.2,30.6,5.636,29.6999
1006.8,24.8,92.3,26.28,5.679,29.7031
